                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3303,                 4.7992,                 1.5635,                0.02108,                0.03651,                0.01737,                0.00682,                 1.8643,                 4.2856,                 1.5118,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 2.0056,                 2.8782,                 1.3865,                0.38717,                0.49918,                0.49019,                0.25725,                 1.6081,                 2.4825,                 1.2969,             0.00016005,             0.00016005,             0.00016005
                      3,                 1.8664,                 1.7958,                 1.2498,                0.46919,                0.53516,                 0.4895,                0.27237,                 1.6483,                 4.6637,                 1.3052,             0.00023529,             0.00023529,             0.00023529
                      4,                 1.8321,                 1.5698,                  1.243,                0.49878,                0.55565,                0.53804,                0.30572,                 1.5807,                 2.6418,                 1.2763,             0.00030349,             0.00030349,             0.00030349
                      5,                 1.6907,                 1.3026,                 1.1912,                0.68915,                0.56069,                0.61426,                0.31349,                 1.5286,                 2.0786,                 1.2529,             0.00036466,             0.00036466,             0.00036466
                      6,                 1.6052,                 1.2597,                 1.1568,                0.63401,                0.60099,                0.66153,                0.36162,                 1.4833,                 2.6823,                 1.2708,             0.00041878,             0.00041878,             0.00041878
                      7,                 1.5919,                  1.136,                 1.1409,                0.82215,                0.66641,                0.74021,                  0.412,                 1.5055,                 2.3877,                  1.294,             0.00046586,             0.00046586,             0.00046586
                      8,                 1.5712,                 1.1073,                  1.128,                0.71012,                0.76517,                0.73019,                0.39964,                 1.5036,                 2.2569,                 1.3015,             0.00050591,             0.00050591,             0.00050591
                      9,                 1.5454,                 1.0657,                 1.1057,                0.67507,                0.77742,                0.74152,                 0.3878,                 1.5371,                 1.3349,                 1.2838,             0.00053891,             0.00053891,             0.00053891
                     10,                 1.6097,                 1.0987,                 1.1138,                 0.8122,                0.60379,                0.69798,                0.39033,                  1.512,                 1.3261,                 1.2826,             0.00056488,             0.00056488,             0.00056488
                     11,                  1.474,                 1.0232,                 1.1312,                 0.6613,                0.81801,                0.79399,                0.41781,                 1.5198,                 1.2653,                 1.2809,             0.00058381,             0.00058381,             0.00058381
                     12,                  1.534,                 1.0126,                 1.1272,                0.81711,                0.66737,                0.74758,                0.40941,                 1.5071,                 1.4371,                 1.2651,              0.0005957,              0.0005957,              0.0005957
                     13,                 1.4437,                0.97525,                 1.0717,                0.66406,                0.75348,                  0.743,                 0.3974,                 1.5434,                 1.6781,                 1.3075,             0.00058305,             0.00058305,             0.00058305
                     14,                 1.4948,                 1.0085,                 1.1352,                0.67804,                0.80883,                 0.7687,                0.43205,                 1.4784,                 1.5793,                 1.2854,             0.00053906,             0.00053906,             0.00053906
                     15,                 1.4373,                0.94026,                 1.0652,                0.69969,                0.81306,                0.81467,                0.48201,                 1.4476,                 1.3899,                 1.2596,             0.00049506,             0.00049506,             0.00049506
                     16,                 1.4138,                 1.0202,                 1.0618,                0.77004,                0.77541,                0.79823,                0.44787,                 1.5137,                 1.1553,                  1.287,             0.00045107,             0.00045107,             0.00045107
                     17,                 1.4183,                0.96737,                 1.0642,                0.74541,                0.76911,                0.80137,                0.41122,                 1.5621,                 1.2099,                 1.3096,             0.00040707,             0.00040707,             0.00040707
                     18,                 1.3791,                0.90865,                 1.0517,                 0.8204,                0.75591,                0.82751,                0.41639,                 1.5768,                 1.1403,                 1.3185,             0.00036307,             0.00036307,             0.00036307
                     19,                 1.3331,                0.84473,                 1.0391,                0.82525,                0.76716,                0.83079,                0.43705,                 1.5684,                 1.1514,                 1.3036,             0.00031908,             0.00031908,             0.00031908
                     20,                 1.3156,                0.82098,                 1.0354,                0.73214,                0.87998,                0.85067,                 0.4503,                 1.5524,                 1.1425,                 1.2845,             0.00027508,             0.00027508,             0.00027508
                     21,                  1.325,                0.81531,                 1.0425,                0.76428,                0.85391,                0.85688,                0.44868,                 1.5516,                 1.1322,                 1.2705,             0.00023109,             0.00023109,             0.00023109
                     22,                 1.3237,                0.80117,                 1.0257,                0.83723,                0.81752,                0.87196,                0.45423,                 1.5381,                 1.0986,                 1.2553,             0.00018709,             0.00018709,             0.00018709
                     23,                 1.2723,                0.75277,                0.99772,                0.87485,                0.80567,                0.87782,                0.44582,                 1.5333,                 1.0277,                  1.255,              0.0001431,              0.0001431,              0.0001431
                     24,                 1.2706,                0.74098,                 1.0229,                0.89821,                0.80553,                0.88835,                 0.4561,                 1.5197,                 1.0038,                 1.2511,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     25,                 1.2429,                0.72814,                 1.0024,                0.91554,                 0.8116,                0.88577,                0.47179,                 1.5186,                0.99218,                 1.2572,             5.5106e-05,             5.5106e-05,             5.5106e-05
